skill,vault_hunter,tree,branch,effect,image_url
El Valiente,Rafa,Remote Agent,,"Rafa deals increased damage from all sources. The fuller Rafa's Shields are, the greater the bonus. While Rafa's Shields are at Maximum Capacity, double the bonus.",https://img.game8.co/4265565/aba9aa8f532a44678ee5df4b4ecaf762.png/show
Field Repairs,Rafa,Remote Agent,,"Whenever Rafa activates an Action Skill, he restores a portion of his Maximum Shield Capacity. If his Shields are already full, he gains Overshield instead.",https://img.game8.co/4265553/8614d82567411f0e01f4797aff804c3d.png/show
Instinto,Rafa,Remote Agent,,"Rafa's Peacebreaker Cannons gain increased Critical Hit Chance. Pressing Action Skill while Peacebreaker Cannons are active causes them to double their Critical Hit Chance and gain increased Critical Hit Damage, while also causing his Action Duration to drain faster. Kill Skill. Killing an enemy causes Rafa to restore Action Skill Duration, while also causing his Action Skill Duration to drain faster.",https://img.game8.co/4265552/bdd9f1126f8f5ea92abddcdc150f07dc.png/show
Juerga,Rafa,Remote Agent,,"Whenever Rafa Critically Hits an enemy, Action Skill Duration is restored.",https://img.game8.co/4265550/af51d7d047b544db6002e2e74b966ce3.png/show
Maestro,Rafa,Remote Agent,,Rafa gains increased Skill Damage.,https://img.game8.co/4265556/f07a6a6ae694986316544539199aaf71.png/show
Resiliencia,Rafa,Remote Agent,,Overdrive Skill. Rafa gains increased Damage Reduction while Overdrive is active.,https://img.game8.co/4265549/985e89c328656956f9c0dc8fd7805fad.png/show
Shield Barriest,Rafa,Remote Agent,,Overdrive Skill. Rafa gains increased Shield Recharge Rate and improved Shield Regen Delay while Overdrive is active.,https://img.game8.co/4265554/aaba5b9bdbb5074bec165ea8b28d67ca.png/show
Sitiar,Rafa,Remote Agent,,Rafa gains increased Gun Damage.,https://img.game8.co/4265546/b018ac42f6994c8866f8047ef3e5f201.png/show
Venganza,Rafa,Remote Agent,,"Whenever Rafa's Shields break after being fully recharged, spawn a free Grenade. If he has a Grenade equipped, use that Grenade instead.",https://img.game8.co/4265548/dfdd2aed868c66eb0e53cd9a1a564415.png/show
Altered Cabron,Rafa,This Year's Gimmick,,"Whenever Rafa kills an enemy while Arc-Knives are active, restore a portion of his Health. Whenever Rafa gains Health, deal Bonus Corrosive Damage with all attacks, and gain increased Movement Speed. This effect can stack.",https://img.game8.co/4265596/6c4b3c199e2c3248993a524106470575.png/show
Dead Man Walking,Rafa,This Year's Gimmick,,"Arc-Knives do not end when their Duration runs out. Instead they only end if Rafa enters Fight For Your Life or activates Blade Fury. While Arc-Knives' duration is depleted, Rafa loses Health instead. Whenever Rafa damages an enemy, he gains Overshield.",https://img.game8.co/4265600/6c87be77426bbe2e4eb2de7ba89d6447.png/show
Dial In,Rafa,This Year's Gimmick,,"Whenever Rafa damages an enemy with a Melee Attack, his Melee Attacks gain Critical Hit Chance. This chance stacks, and all Stacks are removed whenever Rafa Critically Hits an enemy.",https://img.game8.co/4265599/62c14a6e458ec357d31066444b1fda06.png/show
Diamond Hands,Rafa,This Year's Gimmick,,"Dealing Melee Damage grants Rafa a Stack of Diamond Hands. Gain increased Gun Damage for every Stack of Diamond Hands. Once Rafa deals Gun Damage, Stacks begin to decay quickly until they run out.",https://img.game8.co/4265592/1deb28078a5d18de57ec6fcf9968f950.png/show
El Corazon,Rafa,This Year's Gimmick,,A portion of Rafa's Maximum Health Capacity is converted into Maximum Shield Capacity.,https://img.game8.co/4265594/f7aedbf70987319bd8a04a1ef68887d4.png/show
Expedite,Rafa,This Year's Gimmick,,Overdrive Skill. Overdrive grants Rafa increased Movement Speed.,https://img.game8.co/4265593/ed828c2677d7acf2c42c655220564187.png/show
Handshake Deal,Rafa,This Year's Gimmick,,Rafa gains increased Gun Damage and Melee Damage,https://img.game8.co/4265591/9daa722b96418abc134e078818822e82.png/show
Hard Sell,Rafa,This Year's Gimmick,,"Whenever Rafa's Shields break, he instantly gains a portion of his Shield Maximum Capacity as Overshield. This Skill cannot be used again until Rafa next activates his Action Skill.",https://img.game8.co/4265598/6a6623c12b7180a6bf7eedc71fec94e4.png/show
In the Zone,Rafa,This Year's Gimmick,,Kill Skill. Killing an enemy freezes Overdrive's Duration.,https://img.game8.co/4265621/4454898a7bf6b349736873e2d3223dab.png/show
Midnight Oil,Rafa,This Year's Gimmick,,"Rafa's Action Skills deal Bonus Corrosive Damage. The longer the Skill has been active, the greater the Bonus Damage.",https://img.game8.co/4265590/4aaa6a50a1ad9721b436002e0c4f829d.png/show
Saldar,Rafa,This Year's Gimmick,,Rafa's Melee Critical Hits gain Lifesteal.,https://img.game8.co/4265597/3688bb04360e33d2739298001622497e.png/show
To the Last,Rafa,This Year's Gimmick,,"Rafa gains increased Gun Damage and Skill Damage. The lower his Health, the greater the bonuses.",https://img.game8.co/4265595/e60a0d1380f0c7f988907613f7eeca60.png/show
Awe,Rafa,People Person,Branch 1,"Whenever Rafa Shocks an enemy, all shots fired at that enemy are Critical Hits.",https://img.game8.co/4265477/ff8b654aee8fdabdf108d758de02c8e9.png/show
Brain Dump,Rafa,People Person,Branch 1,Overdrive Skill. Rafa gains Critical Hit Chance with his Guns while Overdrive is active.,https://img.game8.co/4265480/1cbeac6112f8ff2a29197140bb261a8e.png/show
Conductivo,Rafa,People Person,Branch 1,"Rafa gains increased Status Effect Chance, and also gains further increased Shock Chance.",https://img.game8.co/4265476/fefe85fe6308672ebff2c01cab740159.png/show
El Catri­n,Rafa,People Person,Branch 1,"Whenever Rafa Slides, his Action Skill deals Bonus Shock Damage, and he also deals increased Critical Hit Damage.",https://img.game8.co/4265474/23d63ade6e00599ef6a64a8db7cb2e7f.png/show
Fiesta,Rafa,People Person,Branch 1,"Whenever Rafa applies a Status Effect, his Action Skills consume no Duration, and APOPHIS Lance consumes no Charges.",https://img.game8.co/4265472/77ec153ef0c4e373b335df772581d36f.png/show
Ojo Rojo,Rafa,People Person,Branch 1,"APOPHIS Lance gains Critical Hit Chance. Whenever Rafa damages an enemy with APOPHIS Lance, he gains further increased Critical Hit Chance.",https://img.game8.co/4265481/9d869142ef98d113eae1d631c96f1260.png/show
PROJECT: Raiju,Rafa,People Person,Branch 1,"APOPHIS Lance is now a close-range Shocking Taser. Pressing and holding Action Skill causes Rafa to deal Shock Damage in an arc in front of him. The longer Rafa holds this attack, the greater Damage it deals.",https://img.game8.co/4265479/dd819a490784c96e244daf2fefc24fb0.png/show
Asymmetric Warfare,Rafa,Remote Agent,Branch 1,"Indirect Projectiles gain increased Damage. Indirect Projectiles include all Action Skill Weapons, Thrown Guns, and Projectiles not fired from your Gun.",https://img.game8.co/4265559/b6583d8756a9f4bff32f5589186e1572.png/show
Double-Ought Autoshot,Rafa,Remote Agent,Branch 1,"Rafa's Peacebreaker Cannons are replaced with Shotguns that deal increased Damage and have an increased Pellet Count. Additionally, Rafa's Turrets gain a chance to Ricochet off of targets. Ricochets deal Reduced Damage, and Critical Hits always Ricochet.",https://img.game8.co/4265562/9a407cea4729a81637032150ae37a92a.png/show
Errant Spark,Rafa,Remote Agent,Branch 1,"All Indirect Projectiles deal Bonus Incendiary Damage. If the Indirect Projectile already deals Incendiary Damage, double the Bonus Damage.",https://img.game8.co/4265569/f28f478dfb59f3e8d90d26ae4a0dd287.png/show
Hell in a Shell,Rafa,Remote Agent,Branch 1,Pressing Action Skill while Peacebreaker Cannons are active causes them to fire two Firebombs that deal Incendiary Damage in a large area. Killing enemies partially restores this Skill's Cooldown.,https://img.game8.co/4265561/f65efddd6876eee894f26601dfb1d0e8.png/show
Hostile Acquisition,Rafa,Remote Agent,Branch 1,Rafa's Indirect Projectiles gain Lifesteal.,https://img.game8.co/4265558/fd2551351907036c3c35ba788a5bf359.png/show
Lateral Plinking,Rafa,Remote Agent,Branch 1,Rafa's Indirect Projectiles gain a chance to Ricochet.,https://img.game8.co/4265557/2c66711ecaab06dc6bf10e2d4814e33e.png/show
Proprietary Incendiary,Rafa,Remote Agent,Branch 1,"Melee Override. Press ability to lob a STRM Glider at an enemy. Once it reaches its targets, it explodes and deals Incendiary Damage in an area based on the amount of Ammo in Rafa's Gun when he threw the STRM Glider.",https://img.game8.co/4265563/b44c8e058e13ec19929138b875e75e98.png/show
Rolling Stone,Rafa,Remote Agent,Branch 1,"While moving, shots have a chance to Ricochet off of Rafa. This chance is doubled while Sliding.",https://img.game8.co/4265560/3892049e2af9c355a3c1321907e06e04.png/show
Blowout,Rafa,This Year's Gimmick,Branch 1,"Whenever Rafa applies a Mark or Critically Hits an enemy with his Action Skill, they explode in Corrosive Lobbed Projectiles. The longer Rafa's Action Skill has been active, the more Corrosive Projectiles are spawned.",https://img.game8.co/4265602/17dd02b6939225395b6bc8975c79eab9.png/show
El Paraguas,Rafa,This Year's Gimmick,Branch 1,Rafa gains increased Splash Damage and Critical Hit Chance.,https://img.game8.co/4265603/f476996ab63554f15cae025121b17086.png/show
Huracan Especial,Rafa,This Year's Gimmick,Branch 1,"Activating Blade Fury causes Rafa to spin his blades, creating a Singularity that draws in all Marked enemies and other nearby enemies while dealing continuous Shock Damage. Whenever this attack kills an enemy, Overdrive grants increased Action Skill Cooldown Rate.",https://img.game8.co/4265609/8e580245c17404b2d103385f81d4e953.png/show
Liquidation,Rafa,This Year's Gimmick,Branch 1,Marked enemies killed by Rafa leave behind a Corrosive Hazard.,https://img.game8.co/4265601/57e34449936490869591017b91dc7312.png/show
Protecto-Pulse,Rafa,This Year's Gimmick,Branch 1,"Pressing ability while Arc-Knives are active or Rafa retriggers his Action Skill drains a portion of Rafa's Shields, and deals that much Shock Damage to nearby enemies.",https://img.game8.co/4265604/06a4efb9f3a05cae24b08f912a094dc4.png/show
Shock Market,Rafa,This Year's Gimmick,Branch 1,"Whenever Rafa deals Splash Damage, deal Bonus Shock Damage based on the Damage Dealt.",https://img.game8.co/4265607/8cf5ba314182a588a9d452b44d8fea65.png/show
Thundercutter,Rafa,This Year's Gimmick,Branch 1,Attacks made with Arc-Knives deal Shock Melee Splash Damage. Rafa gains increased Splash Damage.,https://img.game8.co/4265606/cf57d928b43c1d4d8c2a52cb0e983f3f.png/show
Debtonation,Rafa,People Person,Branch 2,"Whenever Rafa damages an enemy with an Action Skill, place a Remote Detonator on that enemy. Remote Detonators gain increased Damage and increased Splash Radius for every Remote Detonator on an enemy. Remote Detonators automatically explode after a delay or whenever the enemy they're attached to dies. Ordnance Override. Detonate all Remote Detonators.",https://img.game8.co/4265482/3b96a46488bc7f4951b23e2b90f1dfab.png/show
Drone Assault,Rafa,People Person,Branch 2,"Whenever Rafa triggers or retriggers an Action Skill, send one of his STRM Gliders at an enemy in his view. Once it arrives, it explodes in a Corrosive Explosion equal to its remaining health.",https://img.game8.co/4265492/0a321f63fe8ee54fd86856b4289dae74.png/show
Drone Defense,Rafa,People Person,Branch 2,"Whenever Rafa activates an Ordnance, spawn STRM Gliders that hover near him. As he takes Damage, transfer some of it to his STRM Gliders. Once a STRM Glider receives too much Damage, it explodes, dealing Corrosive Splash Damage to nearby enemies.",https://img.game8.co/4265478/5b6da3f0d6397b4b7664fc3f2579aaa1.png/show
El Soldado,Rafa,People Person,Branch 2,Overdrive Skill. Rafa gains increased Gun Damage while Overdrive is active. This bonus is doubled while Rafa is charging APOPHIS Lance.,https://img.game8.co/4265485/053d79611742d565b93493d25204995e.png/show
Gibistruct Module,Rafa,People Person,Branch 2,"Whenever Rafa kills an enemy with his APOPHIS Lance, spawn a free Grenade on that enemy. If Rafa has a Grenade equipped, spawn a copy of that Grenade instead.",https://img.game8.co/4265484/d238e370e6f9f220f03d11ed7cb511bb.png/show
PROJECT: Basilisk,Rafa,People Person,Branch 2,"APOPHIS Lance now fires a Corrosive Blob that leaves a Corrosive Hazard and Splits into several smaller Projectiles whenever it detonates. The more Charges APOPHIS Lance consumes at once, the more it Splits.",https://img.game8.co/4265490/dd6736a7349033cb79ad82cf9cf035b4.png/show
The Right Tools,Rafa,People Person,Branch 2,Rafa gains increased Ordnance Damage after Reloading his Gun. This bonus stacks.,https://img.game8.co/4265494/b574813357a8653ddd561fa5a19dd5dd.png/show
Beam Team,Rafa,Remote Agent,Branch 2,"Rafa's Peacebreaker Cannons are replaced with a Shock Beam and a Corrosive Beam. Each beam automatically locks onto enemies in your view, and may lock onto different enemies. Whenever Rafa applies a Status Effect, gain increased Action Skill Damage.",https://img.game8.co/4265579/d83f226f4aadbba06c580fd56ef899e0.png/show
Concentrated Build-Up,Rafa,Remote Agent,Branch 2,"While Aiming with a Gun, Rafa deals Bonus Shock Damage. Each time Rafa hits an enemy this way, deal increased Bonus Damage until he zooms out. This effect can stack.",https://img.game8.co/4265567/1f396ee018d8f26aada5d1c17d6d16b7.png/show
Confeti,Rafa,Remote Agent,Branch 2,Rafa's Ordnances deal Bonus Damage in his current Gun's Element.,https://img.game8.co/4265564/31389deb6be0885a6846f8dadc8002ba.png/show
El Alacran,Rafa,Remote Agent,Branch 2,Enemies damaged by Rafa's Peacebreaker Cannons have increased Status Effect Chance.,https://img.game8.co/4265568/375150aa85379ac57d01b6aa15894b3a.png/show
Inspirado,Rafa,Remote Agent,Branch 2,"Whenever Rafa inflicts a Status Effect on an enemy, he gains increased Action Skill Cooldown Rate and improved Action Skill Duration Rate. This effect can stack.",https://img.game8.co/4265575/668622b90b7246f74eaf4de61c4b72d0.png/show
Insta-Fort Battle System,Rafa,Remote Agent,Branch 2,"Rafa's Peacebreaker Cannons also deal Ordnance Damage, and he deals increased Ordnance Damage while Peacebreaker Cannons are active. Pressing Action Skill while Peacebreaker Cannons are active causes them to disconnect from Rafa and become a Turret Companion that begins firing at enemies in place. Additionally, it will occasionally fire Grenades at its targets. If Rafa has a Grenade equipped, it copies that Grenade. Pressing Action Skill again returns the Turret Companion to Rafa's back.",https://img.game8.co/4265578/2c01742241a08660e7c0ca726b08fc0f.png/show
Pain Reaction,Rafa,Remote Agent,Branch 2,Rafa's Guns gain a chance to Ricochet off of enemies with Status Effects. Ricochet Damage is based on the Damage Dealt.,https://img.game8.co/4265570/0cab1ab3754616e9dede50a3b9e16b71.png/show
Vitriol,Rafa,Remote Agent,Branch 2,The first shot fired from Rafa's fully-loaded Magazine deals Bonus Corrosive Damage.,https://img.game8.co/4265572/737233aadfcdcaae0eb26c61bd83be8e.png/show
Artilleria,Rafa,This Year's Gimmick,Branch 2,Rafa gains increased Ordnance Cooldown Rate.,https://img.game8.co/4265605/78fad842653e1b45a4a2aaaa70843441.png/show
Booming Business,Rafa,This Year's Gimmick,Branch 2,"Whenever Rafa Critically Hits an enemy, he gains a chance to spawn a Free Grenade. If Rafa has a Grenade equipped, spawn a Grenade based on that.",https://img.game8.co/4265612/73ace62853a3d99b4e0468e5bc44dbd3.png/show
Collaborative Ignition,Rafa,This Year's Gimmick,Branch 2,Overdrive Skill. Rafa deals Bonus Damage with Skills and Ordnances in the Element of his current Gun while Overdrive is active.,https://img.game8.co/4265622/edb6b6aca742371bff18e55b218c97c2.png/show
El Diablito,Rafa,This Year's Gimmick,Branch 2,A portion of all Incendiary Damage Rafa deals also deals Bonus Incendiary Ordnance Damage.,https://img.game8.co/4265611/145b7d90d0102be83bb35f3008851ea9.png/show
Hemolitions,Rafa,This Year's Gimmick,Branch 2,"Overdrive Skill. While Overdrive is active, Rafa may use Grenades during Ordnance Cooldown at the cost of Health. Every time a Grenade is used this way, it costs more Health until Rafa's Grenade fully cools down.",https://img.game8.co/4265617/cccd990ca773da3b0e603bea62b81d87.png/show
Inferno Protocol,Rafa,This Year's Gimmick,Branch 2,"While Arc-Knives are active, Rafa's Exo-Suit stores all Damage Dealt to him. The Exo-Suit then heats up and constantly deals a small amount of Incendiary Damage to him. Additionally, Rafa's Melee Attacks deal Bonus Incendiary Damage. A portion of all Damage Dealt to Rafa is also dealt to enemies he has Marked. Using Blade Fury causes Rafa to consume all Stored Damage, and deals Bonus Incendiary Damage based on Stored Damage. A portion of all Damage dealt this way is returned to Rafa as Health.",https://img.game8.co/4265615/7d15d299592f9472b3c4c61e08baab1a.png/show
Parting Gift,Rafa,This Year's Gimmick,Branch 2,"Whenever Rafa activates his Dash Attack, he leaves behind a Grenade. If he has a Grenade equipped, use that Grenade instead. Enemies damaged by these Grenades become Marked. Whenever Rafa applies a Mark to an enemy, apply an additional Mark.",https://img.game8.co/4265610/9e1e192a453f01c9a3f04e23a953b11c.png/show
Sinergia,Rafa,This Year's Gimmick,Branch 2,"Whenever Rafa deals Ordnance Damage, he also deals increased Gun Damage and Melee Damage. This effect can stack.",https://img.game8.co/4265613/e0d3075a69b46101d5360e760f1d05bc.png/show
Deadline,Rafa,People Person,Branch 3,Overdrive Skill. Rafa gains increased Fire Rate and increased Reload Speed while Overdrive is active.,https://img.game8.co/4265491/67a24bc454248d7dc2389d7b617c9a62.png/show
Engorged Bore,Rafa,People Person,Branch 3,APOPHIS Lance gains increased Projectile Radius and Projectile Speed. PROJECT: Gorgon gains increased Number of Chains.,https://img.game8.co/4265493/7f9dc1305f94a6e1d8755258b190c432.png/show
Jaque,Rafa,People Person,Branch 3,"Whenever Rafa damages an enemy with a Skill, he gains a Stack of Jaque. For every Stack of Jaque, he gains increased Overdrive Bonuses. Whenever Overdrive ends, he loses all Stacks.",https://img.game8.co/4265487/0bae250413b6ef948027dd4a87e1f76a.png/show
La Garza,Rafa,People Person,Branch 3,Overdrive Skill. Rafa gains increased Gun Handling and Action Skill Handling while Overdrive is active.,https://img.game8.co/4265486/7d21acf16ae03ece35d267602e1d54a4.png/show
Mate,Rafa,People Person,Branch 3,"When Overdrive ends, convert all Jaque Stacks into Mate Stacks. Gain increased Action Skill Cooldown Rate for every Stack of Mate. Once Rafa's Action Skill is readied, lose all Stacks of Mate.",https://img.game8.co/4265483/23f6452206f5267fac03bf147564bcc7.png/show
Per My Last,Rafa,People Person,Branch 3,"Whenever Rafa deals Damage with an Action Skill to an enemy, he gains a chance to deal that Damage again.",https://img.game8.co/4265488/8dcacd09f7133642d23c33bf5f00e5b5.png/show
PROJECT: Gorgon,Rafa,People Person,Branch 3,"APOPHIS Lance is now a Laser that passes through enemies, dealing Incendiary Damage. Pressing and holding Action Skill causes the Laser to deal increased Damage and Chain to more Enemies as it consumes Charges.",https://img.game8.co/4265489/7a5405f6ba48bfeb7bdbdc19fc8d2172.png/show
Barrage,Rafa,Remote Agent,Branch 3,Overdrive Skill. Rafa gains increased Splash Damage while Overdrive is active.,https://img.game8.co/4265566/3285b4341735094cabebb6da4b7ed21f.png/show
Devil-May-Care,Rafa,Remote Agent,Branch 3,"Overdrive Skill. While Overdrive is active, Rafa gains increased Movement Speed, and gains Health Regeneration. While Overdrive is not active, Rafa takes increased Damage, and gains increased Action Skill Cooldown Rate.",https://img.game8.co/4265580/f741f29c40bc56352ade73e1a2695b4f.png/show
Everdrive,Rafa,Remote Agent,Branch 3,Overdrive gains increased Duration.,https://img.game8.co/4265571/8ce6a7e63c142721b20b933b970299a3.png/show
Soltado,Rafa,Remote Agent,Branch 3,Kill Skill. Double all Overdrive bonuses.,https://img.game8.co/4265576/52e7afd55f765439af23dc35916a4e83.png/show
Temerario,Rafa,Remote Agent,Branch 3,"Overdrive Skill. Rafa gains increased Gun Damage, but decreased Gun Handling. These Effects are based on how long Overdrive has been active.",https://img.game8.co/4265577/772c2d1ac97b2f43ef18445c91927291.png/show
Unmissable Missiles,Rafa,Remote Agent,Branch 3,"Pressing Action Skill while Peacebreaker Cannons are active causes them to fire a volley of Homing Missiles at enemies in view, at the cost of Action Skill Duration.",https://img.game8.co/4265574/e78dd1c21e220978c24db319ed2bba6e.png/show
Volatile Hollowpoints,Rafa,Remote Agent,Branch 3,Rafa's Peacebreaker Cannons are replaced with Rockets that deal Splash Damage.,https://img.game8.co/4265573/c0e0e8605ffb81297d90e34dc23766ba.png/show
Acid Drop,Rafa,This Year's Gimmick,Branch 3,"Arc-Knives' Dash Attack is replaced by Caustic Leap. Pressing Action Skill causes Rafa to leap forward and create a Caustic Hazard wherever he lands. Whenever a Mark is removed from an enemy, it explodes into a Corrosive Nova.",https://img.game8.co/4265618/551e8b467e97b23084cdccfd146140e3.png/show
Cruel Accrual,Rafa,This Year's Gimmick,Branch 3,"Rafa gains increased Skill Damage with all Skills. The longer his Action Skill has been active, the greater the bonus. This effect can stack.",https://img.game8.co/4265623/33f4c78d93fc21643f83e9bd9efe6e61.png/show
El Borracho,Rafa,This Year's Gimmick,Branch 3,"Rafa deals increased Corrosive Damage while his Action Skill is active. The longer it has been active, the greater the bonus. This effect can stack.",https://img.game8.co/4265619/85c0cea40dea857f90bd89113d0bd254.png/show
Empuje,Rafa,This Year's Gimmick,Branch 3,Rafa gains increased Action Skill Duration.,https://img.game8.co/4265608/b11f9cf484e0aea79daf1c9250a2b61a.png/show
Galvanic Panic,Rafa,This Year's Gimmick,Branch 3,"Whenever Rafa performs a Melee Attack while Arc-Knives are active, fire an Acid STRM Glider at an enemy in his view. Acid STRM Gliders deal Corrosive Splash Damage based on the number of total Marked enemies. Additionally, killing an enemy while Arc-Knives are active restores Action Skill Duration. Activating Blade Fury causes Rafa to fire a volley of Acid STRM Gliders in front of him and end Arc-Knives.",https://img.game8.co/4265614/bd415db2558ca3a19d46cb64e6ff4d57.png/show
Motivar,Rafa,This Year's Gimmick,Branch 3,Pressing Action Skill during Arc-Knives grants increased Overdrive Duration. This bonus is reset whenever Rafa activates an Action Skill.,https://img.game8.co/4265616/c713045865089026973b529d0fdee28e.png/show
Sustainable Energy,Rafa,This Year's Gimmick,Branch 3,Overdrive Skill. Rafa gains Health Regeneration based on how much Overdrive time is remaining.,https://img.game8.co/4265620/17ecc8b0a51db808f63482493c397a32.png/show
Blink Strike,Vex,Here Comes Trouble,,"Command Skill. Press and hold Action Skill to Command Trouble to Blink Strike target enemy, dealing Damage. Blink Strike always Critically Strikes enemies who have less than 50% of their Health.",https://img.game8.co/4265093/955aef109173046144d3c776a40b6af3.png/show
Blood is Magic,Vex,Here Comes Trouble,,Vex deals increased Action Skill Damage the higher her Health.,https://img.game8.co/4265091/590b1d18bb78d54ef428341e18a7a8e5.png/show
Claw and Bang,Vex,Here Comes Trouble,,Vex and her Minion(s) gain increased Melee Damage and Ordnance Damage.,https://img.game8.co/4265099/d11d96212e8337d4d5ba50ed9d17ea05.png/show
Enchantment,Vex,Here Comes Trouble,,Vex gains Bonus Kinetic Damage with Guns while her Action Skill is active.,https://img.game8.co/4265101/3d730c891bbc4bcdd3dd935404b3423d.png/show
Grave Command,Vex,Here Comes Trouble,,Kill Skill. Restore a percentage of Trouble's Command Skill Cooldown and Respawn Cooldown.,https://img.game8.co/4265113/4a5a1c61f54928a89935d4519b1e46e0.png/show
Grave Sustenance,Vex,Here Comes Trouble,,Kill Skill. Restore a percentage of Action Skill Duration.,https://img.game8.co/4265102/b8f535d6458941465f5f03ed56e32273.png/show
Hasty Fiends,Vex,Here Comes Trouble,,Vex and her Minion(s) gain increased Movement Speed and Damage Reduction.,https://img.game8.co/4265098/c160b03df1868387fbccfddf4aeccafb.png/show
Mourning,Vex,Here Comes Trouble,,Vex's Kill Skills gain increased Effectiveness.,https://img.game8.co/4265105/e1454abb3bd1ff8aa095c1e384f2ff1d.png/show
Overheal,Vex,Here Comes Trouble,,"While Vex has Overshield, she and her Minion(s) gain Health Regeneration.",https://img.game8.co/4265110/cb4dd6fb5416fd3042e4b395b57e567b.png/show
Overprotective,Vex,Here Comes Trouble,,Kill Skill. Vex and her Minion(s) gain Overshield.,https://img.game8.co/4265122/a50e41447745727f739d3dd8bc807cb1.png/show
Violent Outburst,Vex,Here Comes Trouble,,"Command Skill. Press and hold Action Skill to Command Trouble to explode himself, dealing Ordnance Damage to all nearby enemies and restoring Health to Vex. While Phase Phamiliar is active, sacrifice a percentage of his Maximum Health Capacity instead.",https://img.game8.co/4265125/71363f5f43d5d7863bf334ef4a8a69b7.png/show
Vorpal Fiends,Vex,Here Comes Trouble,,Vex and her Minion(s) gain Critical Hit Damage.,https://img.game8.co/4265111/abbb3446650f1823c5c6998221769e3b.png/show
Yowl and Bay,Vex,Here Comes Trouble,,Vex's Minion(s) gain increased Maximum Health Capacity. Vex gains increased Gun Damage for a Duration after Commanding Trouble.,https://img.game8.co/4265089/77b33c0bf62143ae549d779aa14fe1eb.png/show
Blood Sacrifice,Vex,The Fourth Seal,,Activate Kill Skills whenever Vex's Minion(s) die.,https://img.game8.co/4264940/7c2d6cc88a77cbf59912c135181fc213.png/show
Cold Iron,Vex,The Fourth Seal,,Vex and her Minion(s) gain increased Gun Damage.,https://img.game8.co/4264942/f1e5fbe9b7f97337ec9aa6a09f5eb546.png/show
Coven,Vex,The Fourth Seal,,Spawning a Reaper grants Vex and her Minion(s) Health Regeneration for a Duration. Spawning a Specter grants Vex and her Minion(s) Critical Hit Chance for a Duration. Both effects can stack.,https://img.game8.co/4264963/2db133c771a9593748c71f03121f4bb3.png/show
Cursed Blade,Vex,The Fourth Seal,,"Vex's Melee Attacks apply Curse to hit enemies, making them take Kinetic Status Effect Damage any time they take Gun Damage.",https://img.game8.co/4264934/a9454a6906b512c87c93ea2bcae8a014.png/show
Extra Cursed,Vex,The Fourth Seal,,"Curse Damage now triggers on Minion Melee Damage, and deals increased Damage when it's triggered by a Critical Hit.",https://img.game8.co/4264944/9f3210b4e533a1e152b6d4be7bc3ddac.png/show
Fell Inscriptions,Vex,The Fourth Seal,,Vex and her Minion(s) gain increased Melee Damage and Maximum Health Capacity.,https://img.game8.co/4264941/a60fde8376a989bb7e1fb8d87e72d543.png/show
Ghast Blaster,Vex,The Fourth Seal,,"Minion Skill. Specters gain the ability to use Ghast Blast, dealing Gun Damage to all nearby enemies on impact. Specters will use Ghast Blast on spawn, and after they Reload.",https://img.game8.co/4264954/eef2f3dc998c3113a467b9f52645b965.png/show
Grave Assault,Vex,The Fourth Seal,,Kill Skill. Vex and her Minion(s) gain increased Fire Rate for a Duration. This effect can stack.,https://img.game8.co/4264951/ebd0d39fe5776bdb2f5d31590ef260b2.png/show
Grave Fiends,Vex,The Fourth Seal,,Kill Skill. Vex and her Minion(s) deal increased Damage. This effect can stack.,https://img.game8.co/4264952/9a3ebbb6f9672b743380d906bd8fa808.png/show
Grave Quickening,Vex,The Fourth Seal,,Kill Skill. Vex gains increased Action Skill Cooldown Rate. This effect can stack.,https://img.game8.co/4264957/3e6880405866e0d6e6e02313ba36664b.png/show
Idle Hands,Vex,The Fourth Seal,,Vex and her Minion(s) gain Reload Speed based on the fullness of her Health.,https://img.game8.co/4264967/9a1d35da7d47354b97f3275cf23543ba.png/show
Portents of Suffering,Vex,The Fourth Seal,,Vex and her Minion(s) gain increased Status Effect Damage.,https://img.game8.co/4264953/6a3741e010fd0eb9af57bb7edb81d44d.png/show
Sanguine Fiends,Vex,The Fourth Seal,,Kill Skill. Vex and her Minion(s) restore Health.,https://img.game8.co/4264965/2f040037b2e6072b9c293225890d3cd2.png/show
Bloodletter,Vex,Vexcalation,,"Gun and Skill Critical Hits have a chance to apply Bleed, causing Kinetic Status Effect Damage over time for a Duration. Bleed is affected by Status Effect Application Chance, and is itself considered a Status Effect. This effect can stack.",https://img.game8.co/4265040/e2fcfb1f2ecbbc9f7a14a4c09564254a.png/show
Channeling,Vex,Vexcalation,,Vex gains increased Action Skill Duration and Attunement Duration.,https://img.game8.co/4265052/3b20b71fec707669d22d74dee0729bbc.png/show
Energy Vampire,Vex,Vexcalation,,"Vex deals Status Effect Damage to nearby enemies over time and gains Overshield for each enemy affected. Kill Skill. Killing an enemy while Incarnate is active will grant a Stack of Energy Vampire, increasing Status Effect Damage. Stacks are lost when Incarnate ends. This effect can stack",https://img.game8.co/4265047/2abd1fc4312ca780c7a9ab9f033bb822.png/show
